Date,Sales
2008,8208982000000
2009,10613771000000
2010,15752865999425
2011,21627428893109
2012,26561574179964
2013,30948602127306
2014,34976928333176
2015,40080384510746
2016,46794339400274
2017,51041075885109
2018,52561949970592
2019,56318122762744
2020,59636286225547
2021,60919164846146
2022,59956247197418
