Item,Q4 2004,Q1 2005,Q2 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),84444861213.0,132485874145.0,175182883474.0,125024896016.0,190992437575.0,226286691539.0,150134562691.0,57207000000.0,268753119159.0,220699336323.0,172736114146.0,193568000000.0,320890863948.0,418231000000.0,341176668334.0,199718000000.0,552889867496.0,557769392384.0,839488000000.0,649615000000.0,909943969974.0,1035073768635.0,957384400508.0,740019784179.0,1110982711959.0,1281590825853.0,1195225062205.0,1153967262901.0,1439804300984.0,1796869575930.0,1649870671840.0,1755806400690.0,1844150824299.0,2197081804074.0,2028662829532.0,1685723361829.0,1702392994555.0,1926543320758.0,1705937630564.0,2033854649745.0,1866598526066.0,2621118916415.0,2554910647754.0,2228598262186.0,2593424063941.0,3373259219955.0,3048044079391.0,2145563296248.0,3470305276126.0,3443226703496.0,3228396596983.0,2084489611040.0,3112948005119.0,3172703017968.0,2953826796158.0,2637035621507.0,3341235304930.0,3516775668232.0,3265127046928.0,2673952095282.0,3362986720268.0,3721525146405.0,3755879519012.0,2698989438731.0,3071224780055.0,3510265400228.0,3507044711060.0,2639084928848.0,2772150770559.0,2600935725205.0,2888929476609.0,2229048854727.0,2314795307642.0,2776744398740.0,3086270738943.0
12. Thu nhập khác,1301167123.0,38425643441.0,265311607.0,2469046155.0,3983701721.0,1874194176.0,2858039191.0,105755000000.0,54706052999.0,64582139044.0,15760395575.0,20433000000.0,26405156122.0,15002000000.0,32471955218.0,40267000000.0,25567456949.0,26997441054.0,30707000000.0,64369000000.0,59852701012.0,52840370458.0,686745933798.0,183548163348.0,87613687830.0,26624938592.0,76240416600.0,91724363470.0,108817618140.0,53704594626.0,36219882193.0,151581248789.0,35039781518.0,60324998160.0,35791315029.0,182301804312.0,46322072379.0,75057403348.0,52818800355.0,193261747775.0,70601127882.0,18676238132.0,19904206682.0,57090667643.0,44073835871.0,15745070352.0,27844184416.0,94658510605.0,30423547544.0,56563334106.0,65331706324.0,60761998456.0,146116534447.0,61246215455.0,140125403777.0,102759176301.0,42944840145.0,66987285143.0,74087108721.0,65427025170.0,36671885321.0,40150489277.0,84975939469.0,50587881068.0,120489176600.0,37278305250.0,142312452646.0,122743257794.0,49186371697.0,50244850545.0,41224997384.0,148365579501.0,41111331702.0,33520380483.0,37955648630.0
13. Chi phí khác,40990524.0,1757796073.0,130661524.0,194511883.0,15874000.0,89015695.0,2851691501.0,26000000.0,4666688857.0,36915600501.0,1075456487.0,10125000000.0,2432417595.0,2076000000.0,1726049715.0,1800000000.0,5130756969.0,1332987918.0,3159000000.0,1786000000.0,1659112087.0,2176434009.0,286023767739.0,84342354478.0,12535275488.0,0.0,13444622130.0,18997476721.0,8829457240.0,20634182916.0,20557163884.0,12985472073.0,11267895331.0,10856251677.0,8246165270.0,28449549756.0,5359650595.0,31630383828.0,35634638047.0,50195086093.0,32134003356.0,17310439591.0,21036836062.0,-123742634.0,10984935615.0,26933923148.0,31014955634.0,36051875486.0,24641159915.0,55767691611.0,70713968872.0,59430569541.0,82601647493.0,73183528240.0,59984156079.0,59295172797.0,41397280968.0,33931187119.0,85458005938.0,90040261969.0,41399602611.0,50295058214.0,63835668510.0,77700603192.0,37803733850.0,53858755239.0,62753873794.0,73791162679.0,56985518420.0,75122932001.0,70271306667.0,82172192394.0,43860213391.0,82266235220.0,48436566422.0
14. Lợi nhuận khác (12)-(13),1260176599.0,36667847368.0,134650083.0,2274534272.0,3967827721.0,1785178481.0,6347690.0,105729000000.0,50039364142.0,27666538543.0,14684939088.0,10308000000.0,23972738527.0,12926000000.0,30745905503.0,38467000000.0,20436699980.0,25664453136.0,27548000000.0,62583000000.0,58193588925.0,50663936449.0,400722166059.0,99205808870.0,75078412342.0,26624938592.0,62795794470.0,72726886749.0,99988160900.0,33070411710.0,15662718309.0,138595776716.0,23771886187.0,49468746483.0,27545149759.0,153852254556.0,40962421784.0,43427019520.0,17184162308.0,143066661682.0,38467124526.0,1365798541.0,-1132629380.0,57214410277.0,33088900256.0,-11188852796.0,-3170771218.0,58606635119.0,5782387629.0,795642495.0,-5382262548.0,1331428915.0,63514886954.0,-11937312785.0,80141247698.0,43464003504.0,1547559177.0,33056098024.0,-11370897217.0,-24613236799.0,-4727717290.0,-10144568937.0,21140270959.0,-27112722124.0,82685442750.0,-16580449989.0,79558578852.0,48952095115.0,-7799146723.0,-24878081456.0,-29046309283.0,66193387107.0,-2748881689.0,-48745854737.0,-10480917792.0
15. Tổng lợi nhuận kế toán trước thuế (11)+(14),85705037812.0,169153721513.0,175317533557.0,127299430288.0,194960265296.0,228071870020.0,150140910381.0,162936000000.0,318792483301.0,248365874866.0,187421053234.0,203876000000.0,344863602475.0,431157000000.0,371922573837.0,238185000000.0,573326567476.0,583433845520.0,867036000000.0,712198000000.0,968137558899.0,1085737705084.0,1358106566567.0,839225593049.0,1186061124301.0,1308215764445.0,1258020856675.0,1226694149650.0,1539792461884.0,1829939987640.0,1665533390149.0,1894402177406.0,1867922710486.0,2246550550557.0,2056207979291.0,1839575616385.0,1743355416339.0,1969970340278.0,1723121792872.0,2176921311427.0,1905065650592.0,2622484714956.0,2553778018374.0,2285812672463.0,2626512964197.0,3362070367159.0,3044873308173.0,2204169931367.0,3476087663755.0,3444022345991.0,3223014334435.0,2085821039955.0,3176462892073.0,3160765705183.0,3033968043856.0,2680499625011.0,3342782864107.0,3549831766256.0,3253756149711.0,2649338858483.0,3358259002978.0,3711380577468.0,3777019789971.0,2671876716607.0,3153910222805.0,3493684950239.0,3586603289912.0,2688037023963.0,2764351623836.0,2576057643749.0,2859883167326.0,2295242241834.0,2312046425953.0,2727998544003.0,3075789821151.0
16. Chi phí thuế TNDN hiện hành,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8017000000.0,36036338263.0,42229000000.0,43443714047.0,26515000000.0,104700448281.0,25465921281.0,135211000000.0,111708000000.0,144658719609.0,162946184505.0,228510181374.0,108943502626.0,180839410072.0,207679082421.0,201418538486.0,188651530127.0,273506914614.0,354621567478.0,256582439536.0,252860913932.0,324670597789.0,440979068238.0,381471706850.0,336326843783.0,347296983650.0,439313895004.0,362550763446.0,431496798279.0,355290309090.0,517885257551.0,393536628552.0,205263128400.0,463895734708.0,542788710352.0,498604148841.0,377978824943.0,528294248598.0,558115578219.0,528097208664.0,352559669748.0,504757180169.0,481277512341.0,459229929862.0,429640603111.0,522861656123.0,650596496904.0,579559045028.0,485348598058.0,564338684243.0,637060519942.0,645013546575.0,464261259130.0,559443305864.0,633974149435.0,623139563848.0,504424655028.0,462232548984.0,490431693598.0,534337235466.0,469246818237.0,377888254570.0,494907485041.0,548401617475.0
17. Chi phí thuế TNDN hoãn lại,0.0,0.0,0.0,0.0,0.0,2884326250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8743930576.0,0.0,-16798455701.0,-6522018916.0,1525000000.0,0.0,6682568610.0,-8285145436.0,-7118743116.0,-622783535.0,-1232401988.0,-6666173842.0,-5890579713.0,-3989219429.0,-4178648150.0,-30336769543.0,13563419082.0,-6406536953.0,12413875490.0,-37204925477.0,-15732732250.0,33225106669.0,1810864830.0,-45913409285.0,-6846444831.0,15456443517.0,-10412686843.0,-81622565231.0,37674897385.0,179973335784.0,833212911.0,-5061878547.0,-3145819201.0,-2096140601.0,12787981199.0,-30881221922.0,-2150517050.0,3947883514.0,-11339489858.0,1649660072.0,14269248815.0,-33418089628.0,22540309094.0,-4543499607.0,-2539547647.0,-12445300287.0,17113759408.0,-10245770048.0,-6169419341.0,-28568727010.0,-2466811360.0,-2558664410.0,2737563151.0,-28994247115.0,18804420394.0,-16640960424.0,2673735355.0,-43126134573.0,27931772305.0,3933169203.0,-5876182583.0
18. Chi phí thuế TNDN (16)+(17),0.0,0.0,0.0,0.0,0.0,2884326250.0,0.0,0.0,0.0,0.0,0.0,-8017000000.0,36036338263.0,42229000000.0,34699783471.0,26515000000.0,87901992580.0,18943902365.0,136736000000.0,111708000000.0,151341288219.0,154661039069.0,221391438258.0,108320719091.0,179607008084.0,201012908579.0,195527958773.0,184662310698.0,269328266464.0,324284797935.0,270145858618.0,246454376979.0,337084473279.0,403774142761.0,365738974600.0,369551950452.0,349107848480.0,393400485719.0,355704318615.0,446953241796.0,344877622247.0,436262692320.0,431211525937.0,385236464184.0,464728947619.0,537726831805.0,495458329640.0,375882684342.0,541082229797.0,527234356297.0,525946691614.0,356507553262.0,493417690311.0,482927172413.0,473499178677.0,396222513483.0,545401965217.0,646052997297.0,577019497381.0,472903297771.0,581452443651.0,626814749894.0,638844127234.0,435692532120.0,556976494504.0,631415485025.0,625877126999.0,475430407913.0,481036969378.0,473790733174.0,537010970821.0,426120683664.0,405820026875.0,498840654244.0,542525434892.0
19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),85705037812.0,169153721513.0,175317533557.0,127299430288.0,194960265296.0,225187543770.0,150140910381.0,162936000000.0,318792483301.0,248365874866.0,187421053234.0,211893000000.0,308827264212.0,388928000000.0,337222790366.0,211670000000.0,485424574896.0,564489943155.0,730300000000.0,600490000000.0,816796270680.0,931076666015.0,1136715128309.0,730904873958.0,1006454116217.0,1107202855866.0,1062492897902.0,1042031838952.0,1270464195420.0,1505655189705.0,1395387531531.0,1647947800427.0,1530838237207.0,1842776407796.0,1690469004691.0,1470023665933.0,1394247567859.0,1576569854559.0,1367417474257.0,1729968069631.0,1560188028345.0,2186222022636.0,2122566492437.0,1900576208279.0,2161784016578.0,2824343535354.0,2549414978533.0,1828287247025.0,2935005433958.0,2916787989694.0,2697067642821.0,1729313486693.0,2683045201762.0,2677838532770.0,2560468865179.0,2284277111528.0,2797380898890.0,2903778768959.0,2676736652330.0,2176435560712.0,2776806559327.0,3084565827574.0,3138175662737.0,2236184184487.0,2596933728301.0,2862269465214.0,2960726162913.0,2212606616050.0,2283314654458.0,2102266910575.0,2322872196505.0,1869121558170.0,1906226399078.0,2229157889759.0,2533264386259.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372322370.0,17000000.0,2128686811.0,3638000000.0,241588857.0,9861783028.0,-337000000.0,-988000000.0,-829108207.0,136097998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26347207.0,6865930595.0,1134105039.0,-8840495915.0,235729748.0,3331154106.0,1051271882.0,-12741026907.0,4501721373.0,4594965268.0,8947529103.0,634745873.0,-676593137.0,-62830946.0,-5292414236.0,3163882771.0,-15299233269.0,-18268537046.0,11481034115.0,343553824.0,-15207491118.0,6651782739.0,5040338052.0,-13455724964.0,-25080186925.0,11894581116.0,12851754148.0,61034870453.0,51014172040.0,21017149648.0,27480422622.0,34959164896.0,16602135414.0,17796564928.0,19285784428.0,24473289454.0,-4013443.0,49493141842.0,30346705198.0,41010371258.0
21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20),85705037812.0,169153721513.0,175317533557.0,127299430288.0,194960265296.0,225187543770.0,150140910381.0,162936000000.0,318792483301.0,248365874866.0,187421053234.0,211893000000.0,309199586582.0,388911000000.0,335094103555.0,208032000000.0,485182986039.0,554628160127.0,730637000000.0,601478000000.0,817625378887.0,930940568017.0,1136715128309.0,730904873958.0,1006454116217.0,1107202855866.0,1062492897902.0,1042031838952.0,1270464195420.0,1505655189705.0,1395387531531.0,1647947800427.0,1530838237207.0,1842776407796.0,1690469004691.0,1470050013140.0,1387381637264.0,1575435749520.0,1376257970172.0,1729732339883.0,1556856874239.0,2185170750754.0,2135307519344.0,1896074486906.0,2157189051310.0,2815396006251.0,2548780232660.0,1828963840162.0,2935068264904.0,2922080403930.0,2693903760050.0,1744612719962.0,2701313738808.0,2666357498655.0,2560125311355.0,2299484602646.0,2790729116151.0,2898738430907.0,2690192377294.0,2201515747637.0,2764911978211.0,3071714073426.0,3077140792284.0,2185170012447.0,2575916578653.0,2834789042592.0,2925766998017.0,2196004480636.0,2265518089530.0,2082981126147.0,2298398907051.0,1869125571613.0,1856733257236.0,2198811184561.0,2492254015001.0
