Date,Sales
2008,125898433298
2009,158165519592
2010,201673551555
2011,240852637378
2012,283708522993
2013,617588520982
2014,1121777324124
2015,2649591670826
2016,2753365701074
2017,4074939881860
2018,7828588301004
2019,7812755279230
2020,8329251249705
2021,9248572465653
2022,13655102989686
