Item,Q4 2005,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Tài sản cố định thuê tài chính,1193743333.0,3274950923.0,4058246117.0,6256834774.0,5629570877.0,5287018219.0,6030703506.0,5685093651.0,5338248214.0,5494605976.0,5031552679.0,4651879780.0,4186149630.0,3811990180.0,2718333163.0,2632716149.0,3077975748.0,2073440497.0,2114703716.0,424319808.0,365829034.0,316058308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,1318354421.0,4010505606.0,4708388003.0,,,,,,,,,,,,4216094794.0,5859726300.0,8464688774.0,5859726300.0,5859726300.0,2306264929.0,2306264929.0,2218051234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,-124611088.0,-735554683.0,-650141886.0,,,,,,,,,,,,-1497761631.0,-3227010151.0,-5386713026.0,-3786285803.0,-3745022584.0,-1881945121.0,-1940435895.0,-1901992926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Tài sản cố định vô hình,0.0,9964391124.0,0.0,0.0,11118655981.0,11115134623.0,28170856.0,24649498.0,21128140.0,17606782.0,51392305.0,44209166.0,37026028.0,29842889.0,22659752.0,18997971.0,15336191.0,11674410.0,8012630.0,6677692.0,4813038.0,621551.0,0.0,0.0,17500000.0,16000000.0,14500000.0,6827908865.0,15243190915.0,15079919395.0,14916647875.0,14753376355.0,21040190447.0,20593421286.0,136013414407.0,347268992926.0,346240911205.0,345198582540.0,344392979351.0,342930429476.0,341574945422.0,348629184115.0,347374374220.0,338477808898.0,911661008182.0,905332123791.0,1518706218054.0,1518922331746.0,1506988805936.0,1948283414076.0,1935154709833.0,1907109132647.0,1898060384537.0,1890066572701.0,1861779719747.0,1764370459147.0,1744341204451.0,1725062490129.0,1691735549910.0,1667872099953.0,1647290592143.0,1680861045097.0,1589129226837.0,1570810089728.0,1555101695025.0,2196328859884.0,1805110527417.0,1782461345961.0,1764945763475.0
Nguyên giá,0.0,9964391124.0,0.0,0.0,,,,,,,,,,,86197649.0,86197649.0,86197649.0,86197649.0,86197649.0,86197649.0,86197649.0,86197649.0,86197649.0,86197649.0,104197649.0,104197649.0,104197649.0,8120361076.0,16593006576.0,16593006576.0,16593006576.0,16593006576.0,27635393576.0,27736811376.0,143950431087.0,360212240764.0,360408870264.0,360823214774.0,361148100686.0,361179540686.0,361179540686.0,369473620846.0,369473620846.0,361853690686.0,947682048274.0,948524048274.0,1572863626649.0,1602952211313.0,1605994000918.0,2083645988613.0,2090786592773.0,2083752293474.0,2095118045300.0,2109661957042.0,2102293013639.0,2017813671794.0,2017430796039.0,2018830796039.0,2006179851039.0,2003585796530.0,2003060377358.0,2071028017010.0,1989487186183.0,1991232498183.0,1996813686379.0,2670312113765.0,2301068404089.0,2301600977084.0,2305759727085.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,,,,,,,,,,,-63537897.0,-67199678.0,-70861458.0,-74523239.0,-78185019.0,-79519957.0,-81384611.0,-85576098.0,-86197649.0,-86197649.0,-86697649.0,-88197649.0,-89697649.0,-1292452211.0,-1349815661.0,-1513087181.0,-1676358701.0,-1839630221.0,-6595203129.0,-7143390090.0,-7937016680.0,-12943247838.0,-14167959059.0,-15624632234.0,-16755121335.0,-18249111210.0,-19604595264.0,-20844436731.0,-22099246626.0,-23375881788.0,-36021040092.0,-43191924483.0,-54157408595.0,-84029879567.0,-99005194982.0,-135362574537.0,-155631882940.0,-176643160827.0,-197057660763.0,-219595384341.0,-240513293892.0,-253443212647.0,-273089591588.0,-293768305910.0,-314444301129.0,-335713696577.0,-355769785215.0,-390166971913.0,-400357959346.0,-420422408455.0,-441711991354.0,-473983253881.0,-495957876672.0,-519139631123.0,-540813963610.0
III. Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4388507638.0,4242966547.0,2149364187.0,2098454139.0,2047544091.0,1996634043.0,1945723995.0,1894813947.0,1843903899.0,1792993898.0,1841915184.0,1782522665.0,1731966044.0,74150913.0,70028139.0,65905365.0,61782591.0,57659817.0,53537043.0,49414269.0,45291495.0,41168721.0,23264271209.0,23377051329.0,22957831449.0,42988719520.0,42379498327.0,41771651392.0,37093776200.0,53774719287.0,413656473246.0,412991438945.0,412356836683.0
Nguyên giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13249634175.0,13249634175.0,4515304012.0,4515304012.0,4515304012.0,4515304012.0,4515304012.0,4515304012.0,4515304012.0,4515304012.0,5183449448.0,5183449448.0,5183449448.0,668145436.0,668145436.0,668145436.0,668145436.0,668145436.0,668145436.0,668145436.0,668145436.0,668145436.0,25931006918.0,26463006918.0,26463006918.0,58179640929.0,58179640929.0,58179640929.0,54110986929.0,71366525120.0,434914879941.0,434914879941.0,434914879941.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8861126537.0,-9006667628.0,-2365939825.0,-2416849873.0,-2467759921.0,-2518669969.0,-2569580017.0,-2620490065.0,-2671400113.0,-2722310114.0,-3341534264.0,-3400926783.0,-3451483404.0,-593994523.0,-598117297.0,-602240071.0,-606362845.0,-610485619.0,-614608393.0,-618731167.0,-622853941.0,-626976715.0,-2666735709.0,-3085955589.0,-3505175469.0,-15190921409.0,-15800142602.0,-16407989537.0,-17017210729.0,-17591805833.0,-21258406695.0,-21923440996.0,-22558043258.0
IV. Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,5943861.0,132812952.0,1536449316.0,2582831755.0,5945227664.0,94737974.0,229458081.0,0.0,0.0,45642702.0,242519579.0,58766046.0,241354590.0,206675775.0,1239257752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19857241132.0,28501536132.0,61063614228.0,79296247725.0,85866797677.0,16374800625.0,15391172578.0,27731303662.0,22219987021.0,27529883589.0,33756177663.0,82855922752.0,257838696295.0,167876803954.0,166676338585.0,56168745672.0,43313982236.0,152842848643.0,152116836032.0,266896831459.0,497437539796.0,802033129282.0,530463931729.0,128043783178.0,39813347676.0,42849424454.0,80008416933.0,165850693367.0,294488914740.0,470937317708.0,526709034661.0,596057843238.0,345260984975.0,534517647937.0,277582162653.0,209524364643.0,134775030383.0
