Date,Sales
2010,7938240295
2011,44652123769
2012,129076862096
2013,140519856502
2014,239855677863
2015,155384873679
2016,101363080592
2017,219670478657
2018,290229952812
2019,329421796935
2020,432981009010
2021,713222295725
2022,858888563926
2023,817945615033
