Item,Q4 2006,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Phải thu ngắn hạn của khách hàng,979930000000.0,1052360400607.0,1047218449746.0,843512098290.0,1303685427508.0,1869259939239.0,,,,2479988989265.0,,2735836000000.0,4461540000000.0,2874269472580.0,3344366753793.0,3598433822400.0,4429936000000.0,4079810170362.0,4421438714634.0,5270582350081.0,4424337000000.0,3274700749536.0,3337059666797.0,3241498346798.0,5594405236033.0,6418007333639.0,5755473603722.0,5943422157136.0,5666833747728.0,6558787188566.0,5597351199691.0,5173468330767.0,5572922985011.0,5892353076236.0,4278216474953.0,4858618413010.0,4542290157792.0,4842742196546.0,4858513801902.0,4123795805241.0,3765976705425.0,2967437395677.0,3418424904539.0,3150958664967.0,3903750065824.0,3163817266600.0,2998000242438.0,4672919249114.0,3588831311543.0,3463099255890.0,2863452556133.0,4257083825334.0,5795303621652.0,4952658562081.0,5079843799307.0,4407132990003.0,4172997958661.0,4022086421822.0,4004475782525.0,3862715038708.0,3966004746239.0,3697036214323.0,4159291192915.0,3663438902265.0,4566417798288.0,5883622350855.0
2. Trả trước cho người bán,19647000000.0,373658965355.0,74849347312.0,111497426682.0,102093885995.0,113639664554.0,,,,82673842431.0,,134788000000.0,206899000000.0,283192541413.0,300313677079.0,451370566142.0,400390000000.0,330175014331.0,113742752359.0,133736837082.0,103850000000.0,99569690733.0,67732131059.0,127389084576.0,139320361287.0,259538856631.0,232543257300.0,289659555395.0,287963724058.0,205927591764.0,212066707561.0,321415120826.0,166589054450.0,165273051311.0,306614970047.0,498473878158.0,483204354543.0,461443590051.0,259357007355.0,231788458840.0,307107632456.0,353570288224.0,410833179214.0,475338389579.0,499479248350.0,516001302595.0,515436442887.0,520392930715.0,471446906378.0,453107852200.0,429041292872.0,604944994686.0,608855601459.0,623878266838.0,368651752289.0,368854418315.0,314877334324.0,317927314008.0,297970072369.0,294451721594.0,340441693054.0,396598396786.0,303860480249.0,270186583357.0,535297645082.0,554997612414.0
3. Phải thu nội bộ ngắn hạn,23140000000.0,470316222264.0,574700742351.0,0.0,480977693105.0,479301688886.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải thu theo tiến độ hợp đồng xây dựng,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,5105200692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102536065330.0,233539032719.0,322130170176.0,413611852908.0,218856770302.0,267978848450.0,273291003005.0,406741709557.0,273146290944.0,415952514198.0,355530205320.0,248210286881.0,246697101517.0,232914207120.0,249200003506.0,379503255638.0,247667015173.0,250832735758.0,74968093176.0,85720543145.0,65879968485.0,28347348814.0,12549917627.0,11927115975.0,5398231931.0,4740249648.0,4714434948.0,0.0,69968946447.0,75637743910.0,102850001533.0
5. Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27976168584.0,47929258197.0,28757555368.0,19005179130.0,9508994923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69968946447.0,0.0,0.0,0.0
6. Phải thu ngắn hạn khác,36065000000.0,23381484393.0,22892849134.0,426775961390.0,12817490078.0,22557538885.0,,,,105439875781.0,,19306000000.0,36115000000.0,42021394869.0,51189034348.0,261253773446.0,431086000000.0,1207625338082.0,1580392539781.0,1144705579880.0,1462080000000.0,1679515627116.0,1474923041781.0,1613948745118.0,1776930422655.0,1620733995874.0,1603192286458.0,1737541137138.0,2364360569802.0,1612931516497.0,1581099518563.0,1545290987347.0,1864876403050.0,1501249763360.0,1150400928245.0,1161197266554.0,841134683154.0,749500543359.0,676158596459.0,823729353853.0,950857454729.0,1069776285282.0,1115680295551.0,1033620790328.0,839003811796.0,914150497276.0,1424645794514.0,1379356842792.0,995853009528.0,850339472387.0,780645106989.0,589265507670.0,411317736015.0,470352943396.0,259690616697.0,333391300891.0,490598659159.0,472061568475.0,463331196922.0,381318135631.0,514123993927.0,615610073591.0,620238917804.0,842821337711.0,498804397975.0,535274015946.0
7. Dự phòng phải thu ngắn hạn khó đòi,-44175000000.0,-39273609524.0,-24200170745.0,-24200170745.0,-24118452328.0,-24118452328.0,,,,-30145831372.0,,-64979000000.0,-96765000000.0,-100749623002.0,-74637535986.0,-77936840490.0,-76077000000.0,-30889704638.0,-28042267731.0,-56891828714.0,-31282000000.0,-27657554366.0,-26850849211.0,-33126926873.0,-19965997110.0,-20424644408.0,-26673468683.0,-42807281391.0,-36363931522.0,-40023381593.0,-40314235797.0,-48228357998.0,-62875749823.0,-80234723061.0,-128076611855.0,-153406050766.0,-155482312201.0,-199172188527.0,-115608578051.0,-95305089741.0,-133031546493.0,-199825550393.0,-201330569809.0,-197738625859.0,-210076793191.0,-188564830287.0,-235055563651.0,-210741365540.0,-316480760176.0,-310588223338.0,-287754118595.0,-176822106594.0,-151609343148.0,-148294842149.0,-132814571746.0,-148039952925.0,-155990395291.0,-163088960589.0,-157925311718.0,-166615708175.0,-172877120691.0,-166525022141.0,-162861718584.0,-117200770912.0,-103656712756.0,-122930531768.0
IV. Tổng hàng tồn kho,83619000000.0,148111910975.0,127202432372.0,188392176185.0,212803827303.0,176204759927.0,188316000000.0,218252000000.0,334023000000.0,287074907144.0,342339000000.0,285115000000.0,440133000000.0,628023859283.0,372253197267.0,528624341910.0,905080000000.0,884190161801.0,1046239123082.0,1264597063170.0,1250398000000.0,1184136592110.0,570304000972.0,559301077176.0,605785407567.0,613375368190.0,698509178951.0,735681592096.0,745573254948.0,730172811175.0,879012424794.0,654672406055.0,562653012548.0,870363972454.0,1195845290679.0,920962621008.0,1102117942494.0,1375518507043.0,1622156528774.0,1215289054599.0,1253801948873.0,1195473815855.0,434353592852.0,327694044450.0,398036451558.0,417510482948.0,469151670516.0,417917033625.0,679039939467.0,759214406135.0,1061408285270.0,1427133675445.0,1754693680007.0,2021706250105.0,2190248310625.0,2365461279440.0,2826489982675.0,2409038288988.0,2160558135038.0,1466751063744.0,1046548668829.0,1172013076727.0,1010840812718.0,974945294569.0,1047480458569.0,1439983469594.0
1. Hàng tồn kho,99069000000.0,163561662563.0,141054181808.0,202243925621.0,226655576739.0,190056509363.0,,,,293289129688.0,,289075000000.0,444093000000.0,631984220645.0,376037092792.0,532408237435.0,908864000000.0,887974057326.0,1050008733068.0,1268366673156.0,1254168000000.0,1187906202096.0,574062987472.0,563060063676.0,609544394067.0,617134354690.0,702076249226.0,739248662371.0,749140325223.0,733739881450.0,883670685614.0,659330666875.0,567311273368.0,875022233274.0,1201542205828.0,926568537864.0,1107814857643.0,1381215422192.0,1627365371593.0,1220497897418.0,1259010791692.0,1200682658674.0,439313779363.0,332654230961.0,402996638069.0,422470669459.0,536708840668.0,422111386786.0,683234292628.0,763408759296.0,1064316269121.0,1429471716778.0,1757031721340.0,2024044291438.0,2192447024754.0,2427555603694.0,2888584306929.0,2471132613242.0,2162749301199.0,1468942229905.0,1048739834990.0,1174204242888.0,1012791067106.0,976895548957.0,1049430712957.0,1441933723982.0
2. Dự phòng giảm giá hàng tồn kho,-15450000000.0,-15449751588.0,-13851749436.0,-13851749436.0,-13851749436.0,-13851749436.0,,,,-6214222544.0,,-3960000000.0,-3960000000.0,-3960361362.0,-3783895525.0,-3783895525.0,-3784000000.0,-3783895525.0,-3769609986.0,-3769609986.0,-3770000000.0,-3769609986.0,-3758986500.0,-3758986500.0,-3758986500.0,-3758986500.0,-3567070275.0,-3567070275.0,-3567070275.0,-3567070275.0,-4658260820.0,-4658260820.0,-4658260820.0,-4658260820.0,-5696915149.0,-5605916856.0,-5696915149.0,-5696915149.0,-5208842819.0,-5208842819.0,-5208842819.0,-5208842819.0,-4960186511.0,-4960186511.0,-4960186511.0,-4960186511.0,-67557170152.0,-4194353161.0,-4194353161.0,-4194353161.0,-2907983851.0,-2338041333.0,-2338041333.0,-2338041333.0,-2198714129.0,-62094324254.0,-62094324254.0,-62094324254.0,-2191166161.0,-2191166161.0,-2191166161.0,-2191166161.0,-1950254388.0,-1950254388.0,-1950254388.0,-1950254388.0
