Date,NOPAT
2009,3285138467436
2010,4747715480594
2011,5912688300038
2012,9807335873363
2013,12287542443295
2014,14122675507937
2015,8533695412604
2016,7020153134342
2017,9684863896268
2018,11453968895042
2019,11902248028143
2020,7854955921939
2021,8672965062460
2022,14798317219715
