Date,Sales
2008,270438520985
2009,471653927188
2010,838055842337
2011,1485829501582
2012,2075521819121
2013,1775650551631
2014,2762399823478
2015,2245500270744
2016,2786122656531
2017,2177655321321
2018,1136300063161
2019,1107222243077
2020,750525075487
2021,870395087755
2022,1073161354752
