Duration,opc
2006,-122259111000.0
2007,-1526417124000.0
2008,-539274898000.0
2009,1083310772000.0
2010,294440641000.0
2011,-993767794000.0
2012,940444484000.0
2013,-2059788344000.0
2014,-473430237000.0
2015,1529305596000.0
2016,2176460345000.0
2017,1014522675000.0
2018,-2917676442000.0
2019,-2537576353000.0
2020,-1764136007000.0
2021,-640276028000.0
2022,37335440000.0
